month,segment,revenue
2023-01,Enterprise,1500000
2023-01,Mid-Market,750000
2023-01,SMB,250000
2023-02,Enterprise,1530000
2023-02,Mid-Market,765000
2023-02,SMB,255000
2023-03,Enterprise,1560000
2023-03,Mid-Market,780000
2023-03,SMB,260000
2023-04,Enterprise,1590000
2023-04,Mid-Market,795000
2023-04,SMB,265000
2023-05,Enterprise,1620000
2023-05,Mid-Market,810000
2023-05,SMB,270000
2023-06,Enterprise,1650000
2023-06,Mid-Market,825000
2023-06,SMB,275000
2023-07,Enterprise,1680000
2023-07,Mid-Market,840000
2023-07,SMB,280000
2023-08,Enterprise,1710000
2023-08,Mid-Market,855000
2023-08,SMB,285000
2023-09,Enterprise,1740000
2023-09,Mid-Market,870000
2023-09,SMB,290000
2023-10,Enterprise,1770000
2023-10,Mid-Market,885000
2023-10,SMB,295000
2023-11,Enterprise,1800000
2023-11,Mid-Market,900000
2023-11,SMB,300000
2023-12,Enterprise,1830000
2023-12,Mid-Market,915000
2023-12,SMB,305000
2024-01,Enterprise,1860000
2024-01,Mid-Market,930000
2024-01,SMB,310000
2024-02,Enterprise,1890000
2024-02,Mid-Market,945000
2024-02,SMB,315000
2024-03,Enterprise,1920000
2024-03,Mid-Market,960000
2024-03,SMB,320000
2024-04,Enterprise,1950000
2024-04,Mid-Market,975000
2024-04,SMB,325000
2024-05,Enterprise,1980000
2024-05,Mid-Market,990000
2024-05,SMB,330000
2024-06,Enterprise,2010000
2024-06,Mid-Market,1005000
2024-06,SMB,335000
2024-07,Enterprise,2040000
2024-07,Mid-Market,1020000
2024-07,SMB,340000
2024-08,Enterprise,2070000
2024-08,Mid-Market,1035000
2024-08,SMB,345000
2024-09,Enterprise,2100000
2024-09,Mid-Market,1050000
2024-09,SMB,350000
2024-10,Enterprise,2130000
2024-10,Mid-Market,1065000
2024-10,SMB,355000
2024-11,Enterprise,2160000
2024-11,Mid-Market,1080000
2024-11,SMB,360000
2024-12,Enterprise,2190000
2024-12,Mid-Market,1095000
2024-12,SMB,365000


