month,vendor,category,amount
2023-01,AWS,Cloud Infrastructure,85000
2023-01,Salesforce,CRM Software,45000
2023-01,Slack,Communication,12000
2023-01,Zendesk,Customer Support,18000
2023-01,HubSpot,Marketing Software,25000
2023-02,AWS,Cloud Infrastructure,87000
2023-02,Salesforce,CRM Software,45000
2023-02,Slack,Communication,12000
2023-02,Zendesk,Customer Support,18000
2023-02,HubSpot,Marketing Software,25000
2023-03,AWS,Cloud Infrastructure,89000
2023-03,Salesforce,CRM Software,45000
2023-03,Slack,Communication,12000
2023-03,Zendesk,Customer Support,18000
2023-03,HubSpot,Marketing Software,25000
2023-04,AWS,Cloud Infrastructure,91000
2023-04,Salesforce,CRM Software,45000
2023-04,Slack,Communication,12000
2023-04,Zendesk,Customer Support,18000
2023-04,HubSpot,Marketing Software,25000
2023-05,AWS,Cloud Infrastructure,93000
2023-05,Salesforce,CRM Software,45000
2023-05,Slack,Communication,12000
2023-05,Zendesk,Customer Support,18000
2023-05,HubSpot,Marketing Software,25000
2023-06,AWS,Cloud Infrastructure,95000
2023-06,Salesforce,CRM Software,45000
2023-06,Slack,Communication,12000
2023-06,Zendesk,Customer Support,18000
2023-06,HubSpot,Marketing Software,25000
2023-07,AWS,Cloud Infrastructure,97000
2023-07,Salesforce,CRM Software,45000
2023-07,Slack,Communication,12000
2023-07,Zendesk,Customer Support,18000
2023-07,HubSpot,Marketing Software,25000
2023-08,AWS,Cloud Infrastructure,99000
2023-08,Salesforce,CRM Software,45000
2023-08,Slack,Communication,12000
2023-08,Zendesk,Customer Support,18000
2023-08,HubSpot,Marketing Software,25000
2023-09,AWS,Cloud Infrastructure,101000
2023-09,Salesforce,CRM Software,45000
2023-09,Slack,Communication,12000
2023-09,Zendesk,Customer Support,18000
2023-09,HubSpot,Marketing Software,25000
2023-10,AWS,Cloud Infrastructure,103000
2023-10,Salesforce,CRM Software,45000
2023-10,Slack,Communication,12000
2023-10,Zendesk,Customer Support,18000
2023-10,HubSpot,Marketing Software,25000
2023-11,AWS,Cloud Infrastructure,105000
2023-11,Salesforce,CRM Software,45000
2023-11,Slack,Communication,12000
2023-11,Zendesk,Customer Support,18000
2023-11,HubSpot,Marketing Software,25000
2023-12,AWS,Cloud Infrastructure,107000
2023-12,Salesforce,CRM Software,45000
2023-12,Slack,Communication,12000
2023-12,Zendesk,Customer Support,18000
2023-12,HubSpot,Marketing Software,25000
2024-01,AWS,Cloud Infrastructure,109000
2024-01,Salesforce,CRM Software,45000
2024-01,Slack,Communication,12000
2024-01,Zendesk,Customer Support,18000
2024-01,HubSpot,Marketing Software,25000
2024-02,AWS,Cloud Infrastructure,111000
2024-02,Salesforce,CRM Software,45000
2024-02,Slack,Communication,12000
2024-02,Zendesk,Customer Support,18000
2024-02,HubSpot,Marketing Software,25000
2024-03,AWS,Cloud Infrastructure,113000
2024-03,Salesforce,CRM Software,45000
2024-03,Slack,Communication,12000
2024-03,Zendesk,Customer Support,18000
2024-03,HubSpot,Marketing Software,25000
2024-04,AWS,Cloud Infrastructure,115000
2024-04,Salesforce,CRM Software,45000
2024-04,Slack,Communication,12000
2024-04,Zendesk,Customer Support,18000
2024-04,HubSpot,Marketing Software,25000
2024-05,AWS,Cloud Infrastructure,117000
2024-05,Salesforce,CRM Software,45000
2024-05,Slack,Communication,12000
2024-05,Zendesk,Customer Support,18000
2024-05,HubSpot,Marketing Software,25000
2024-06,AWS,Cloud Infrastructure,119000
2024-06,Salesforce,CRM Software,45000
2024-06,Slack,Communication,12000
2024-06,Zendesk,Customer Support,18000
2024-06,HubSpot,Marketing Software,25000
2024-07,AWS,Cloud Infrastructure,121000
2024-07,Salesforce,CRM Software,45000
2024-07,Slack,Communication,12000
2024-07,Zendesk,Customer Support,18000
2024-07,HubSpot,Marketing Software,25000
2024-08,AWS,Cloud Infrastructure,123000
2024-08,Salesforce,CRM Software,45000
2024-08,Slack,Communication,12000
2024-08,Zendesk,Customer Support,18000
2024-08,HubSpot,Marketing Software,25000
2024-09,AWS,Cloud Infrastructure,125000
2024-09,Salesforce,CRM Software,45000
2024-09,Slack,Communication,12000
2024-09,Zendesk,Customer Support,18000
2024-09,HubSpot,Marketing Software,25000
2024-10,AWS,Cloud Infrastructure,127000
2024-10,Salesforce,CRM Software,45000
2024-10,Slack,Communication,12000
2024-10,Zendesk,Customer Support,18000
2024-10,HubSpot,Marketing Software,25000
2024-11,AWS,Cloud Infrastructure,129000
2024-11,Salesforce,CRM Software,45000
2024-11,Slack,Communication,12000
2024-11,Zendesk,Customer Support,18000
2024-11,HubSpot,Marketing Software,25000
2024-12,AWS,Cloud Infrastructure,131000
2024-12,Salesforce,CRM Software,45000
2024-12,Slack,Communication,12000
2024-12,Zendesk,Customer Support,18000
2024-12,HubSpot,Marketing Software,25000


